Algorithm,Accuracy      BOW,Accuracy   TF-IDF,Recall        BOW,Recall     TF-IDF,Precision     BOW,Precision  TF-IDF,F-measure     BOW,F-measure  TF-IDF
MLP,97.84946236559139,97.84946236559139,84.0,84.0,100.0,100.0,91.30434782608697,91.30434782608697
MLP-scaled,----------,97.1326164874552,----------,80.0,----------,98.36065573770492,----------,88.23529411764706
MLP-SCA,96.65071770334929,94.377990430622,79.01785714285714,83.48214285714286,95.16129032258065,76.63934426229508,86.34146341463416,79.91452991452992
KNN,87.73923444976076,94.79665071770334,8.482142857142858,61.16071428571429,100.0,100.0,15.637860082304528,75.90027700831025
KNN-SCA,87.67942583732058,86.60287081339713,8.035714285714286,0.0,100.0,0.0,14.876033057851243,0.0
SVM,97.84688995215312,98.38516746411483,83.92857142857143,89.28571428571429,100.0,98.52216748768473,91.26213592233009,93.6768149882904
SVM-SCA,97.1291866028708,89.5933014354067,82.14285714285714,22.321428571428573,95.83333333333334,100.0,88.46153846153847,36.496350364963504
R.forest,97.42822966507177,97.84688995215312,80.80357142857143,83.92857142857143,100.0,100.0,89.38271604938272,91.26213592233009
R.forest-SCA,96.65071770334929,96.5909090909091,76.78571428571429,78.57142857142857,97.72727272727273,95.13513513513514,86.0,86.0635696821516
Vot with  mlp,97.188995215311,97.96650717703349,79.01785714285714,84.82142857142857,100.0,100.0,88.2793017456359,91.78743961352657
Vot with out mlp,97.30861244019138,97.30861244019138,79.91071428571429,79.91071428571429,100.0,100.0,88.83374689826303,88.83374689826303
Vot_mlp_SCA,96.05263157894737,89.29425837320574,71.42857142857143,20.089285714285715,98.76543209876543,100.0,82.90155440414507,33.457249070631974
Naive Bayes,90.9688995215311,90.84928229665071,90.17857142857143,88.83928571428571,61.027190332326285,60.85626911314985,72.7927927927928,72.23230490018149
Naive Ba_Bag,93.6602870813397,93.36124401913875,88.83928571428571,84.82142857142857,71.07142857142857,71.16104868913857,78.96825396825396,77.39307535641548
Complex-model,97.96650717703349,97.42822966507177,85.08771929824562,85.08771929824562,100.0,95.56650246305419,91.9431279620853,90.02320185614849
