,v1,v2
0,0,"go jurong point, crazy.. available bugis n great world la e buffet... cine got amore wat..."
1,0,ok lar... joking wif u oni...
2,1,free entry 2 wkly comp win fa cup final tkts 21st may 2005. text fa 87121 receive entry question(std txt rate)t&c's apply 08452810075over18'
3,0,u dun say early hor... u c already say...
4,0,"nah think goes usf, lives around though"
5,1,"freemsg hey darling 3 week's word back! i'd like fun still? tb ok! xxx std chgs send, å£1.50 rcv"
6,0,even brother like speak me. treat like aids patent.
7,0,per request 'melle melle (oru minnaminunginte nurungu vettam)' set callertune callers. press *9 copy friends callertun
8,1,winner!! valued network customer selected receivea å£900 prize reward! claim call 09061701461. claim code kl341. valid 12 hours only.
9,1,mobile 11 months more? u r entitled update latest colour mobiles camera free! call mobile update co free 08002986030
10,0,"i'm gonna home soon want talk stuff anymore tonight, k? i've cried enough today."
11,1,"six chances win cash! 100 20,000 pounds txt> csh11 send 87575. cost 150p/day, 6days, 16+ tsandcs apply reply hl 4 info"
12,1,"urgent! 1 week free membership å£100,000 prize jackpot! txt word: claim no: 81010 t&c www.dbuk.net lccltd pobox 4403ldnw1a7rw18"
13,0,i've searching right words thank breather. promise wont take help granted fulfil promise. wonderful blessing times.
14,0,date sunday will!!
15,1,"xxxmobilemovieclub: use credit, click wap link next txt message click here>> http://wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl"
16,0,oh k...i'm watching here:)
17,0,eh u remember 2 spell name... yes did. v naughty make v wet.
18,0,fine thatåõs way u feel. thatåõs way gota b
19,1,"england v macedonia - dont miss goals/team news. txt ur national team 87077 eg england 87077 try:wales, scotland 4txt/ì¼1.20 poboxox36504w45wq 16+"
20,0,seriously spell name?
21,0,iû÷m going try 2 months ha ha jok
22,0,ì_ pay first lar... da stock comin...
23,0,aft finish lunch go str lor. ard 3 smth lor. u finish ur lunch already?
24,0,ffffffffff. alright way meet sooner?
25,0,forced eat slice. i'm really hungry tho. sucks. mark getting worried. knows i'm sick turn pizza. lol
26,0,lol always convincing.
27,0,catch bus ? frying egg ? make tea? eating mom's left dinner ? feel love ?
28,0,"i'm back &amp; we're packing car now, i'll let know there's room"
29,0,ahhh. work. vaguely remember that! feel like? lol
30,0,"wait that's still clear, sure sarcastic that's x want live u"
31,0,yeah got 2 v apologetic. n fallen actin like spoilt child got caught that. till 2! go there! badly cheers. you?
32,0,k tell anything you.
33,0,fear fainting housework did? quick cuppa
34,1,thanks subscription ringtone uk mobile charged å£5/month please confirm replying yes no. reply charg
35,0,yup... ok go home look timings msg ì_ again... xuhui going learn 2nd may lesson 8am
36,0,"oops, i'll let know roommate's don"
37,0,see letter b car
38,0,anything lor... u decide...
39,0,hello! how's saturday go? texting see decided anything tomo. i'm trying invite anything!
40,0,pls go ahead watts. wanted sure. great weekend. abiola
41,0,"forget tell ? want , need you, crave ... ... love sweet arabian steed ... mmmmmm ... yummi"
42,1,07732584351 - rodger burns - msg = tried call reply sms free nokia mobile + free camcorder. please call 08000930705 delivery tomorrow
43,0,seeing?
44,0,great! hope like man well endowed. &lt;#&gt; inches...
45,0,calls..messages..missed cal
46,0,get hep b immunisation nigeria.
47,0,"fair enough, anything going on?"
48,0,"yeah hopefully, tyler can't could maybe ask around bit"
49,0,u know stubborn am. even want go hospital. kept telling mark i'm weak sucker. hospitals weak suckers.
50,0,thinked me. first time saw class.
51,0,"gram usually runs like &lt;#&gt; , half eighth smarter though gets almost whole second gram &lt;#&gt;"
52,0,k fyi x ride early tomorrow morning he's crashing place tonight
53,0,"wow. never realized embarassed accomodations. thought liked it, since best could always seemed happy \the cave\"". i'm sorry give. i'm sorry offered. i'm sorry room embarassing."""
54,1,sms. ac sptv: new jersey devils detroit red wings play ice hockey. correct incorrect? end? reply end sptv
55,0,know mallika sherawat yesterday? find @ &lt;url&gt;
56,1,"congrats! 1 year special cinema pass 2 yours. call 09061209465 now! c suprman v, matrix3, starwars3, etc 4 free! bx420-ip4-5we. 150pm. dont miss out!"
57,0,"sorry, i'll call later meeting."
58,0,tell reach
59,0,yes..gauti sehwag odi series.
60,0,gonna pick $1 burger way home. can't even move. pain killing me.
61,0,ha ha ha good joke. girls situation seekers.
62,0,part checking iq
63,0,"sorry roommates took forever, ok come now?"
64,0,ok lar double check wif da hair dresser already said wun cut v short. said cut look nice.
65,1,"valued customer, pleased advise following recent review mob no. awarded å£1500 bonus prize, call 09066364589"
66,0,"today \song dedicated day..\"" song u dedicate me? send ur valuable frnds first rply me..."""
67,1,"urgent ur awarded complimentary trip eurodisinc trav, aco&entry41 å£1000. claim txt dis 87121 18+6*å£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj"
68,1,"hear new \divorce barbie\""? comes ken's stuff!"""
69,0,plane give month end.
70,0,wah lucky man... save money... hee...
71,0,finished class you.
72,0,hi babe im home wanna something? xx
73,0,k..k:)where you?how performed?
74,0,u call now...
75,0,waiting machan. call free.
76,0,thats cool. gentleman treat dignity respect.
77,0,like peoples much:) shy pa.
78,0,operate &lt;#&gt;
79,0,here. still looking job. much ta's earn there.
80,0,"sorry, i'll call lat"
81,0,k. call ah?
82,0,ok way home hi hi
83,0,place man
84,0,yup next stop.
85,0,"call later, network. urgnt, sms me."
86,0,real u getting yo? need 2 tickets one jacket i'm done. already used multis.
87,0,yes started send requests make pain came back i'm back bed. double coins factory too. gotta cash nitros.
88,0,i'm really still tonight bab
89,0,"ela kano.,il download, come wen ur free.."
90,0,yeah do! donû÷t stand close tho- youû÷ll catch something!
91,0,sorry pain. ok meet another night? spent late afternoon casualty means done stuff42moro includes time sheets that. sorry.
92,0,smile pleasure smile pain smile trouble pours like rain smile sum1 hurts u smile becoz someone still loves see u smiling!!
93,1,please call customer service representative 0800 169 6031 10am-9pm guaranteed å£1000 cash å£5000 prize!
94,0,havent planning buy later. check already lido got 530 show e afternoon. u finish work already?
95,1,"free ringtone waiting collected. simply text password \mix\"" 85069 verify. get usher britney. fml"
96,0,watching telugu movie..wat abt u?
97,0,see. finish loads loans pay
98,0,"hi. wk ok - hols now! yes bit run. forgot hairdressers appointment four need get home n shower beforehand. cause prob u?\"" ham"""
99,0,please text anymore. nothing else say.
100,0,okay name ur price long legal! wen pick up? u ave x ams xx
101,0,i'm still looking car buy. gone 4the driving test yet.
102,0,per request 'melle melle (oru minnaminunginte nurungu vettam)' set callertune callers. press *9 copy friends callertun
103,0,"wow. right! mean that. guess gave boston men changed search location nyc, something changed. cuz signin page still says boston."
104,0,umma life vava umma love lot dear
105,0,thanks lot wishes birthday. thanks making birthday truly memorable.
106,0,"aight, i'll hit get cash"
107,0,would ip address test considering computer minecraft serv
108,0,know! grumpy old people. mom like better lying. always one play jokes...
109,0,dont worry. guess he's busy.
110,0,plural noun research?
111,0,going dinner.msg after.
112,0,i'm ok wif cos like 2 try new things. scared u dun like mah. cos u said loud.
113,1,gent! trying contact you. last weekends draw shows å£1000 prize guaranteed. call 09064012160. claim code k52. valid 12hrs only. 150ppm
114,0,"wa, ur openin sentence formal... anyway, i'm fine too, juz tt i'm eatin much n puttin weight...haha... anythin special happened?"
115,0,"entered cabin pa said, '' happy b'day boss !!''. felt special. askd 4 lunch. lunch invited apartment. went there."
116,1,winner u specially selected 2 receive å£1000 4* holiday (flights inc) speak live operator 2 claim 0871277810910p/min (18+)
117,0,goodo! yes must speak friday - egg-potato ratio tortilla needed!
118,0,hmm...my uncle informed he's paying school directly. pls buy food.
119,1,private! 2004 account statement 07742676969 shows 786 unredeemed bonus points. claim call 08719180248 identifier code: 45239 expir
120,1,"urgent! mobile no. awarded å£2000 bonus caller prize 5/9/03 final try contact u! call landline 09064019788 box42wr29c, 150ppm"
121,0,new address -apples&pairs&all malarki
122,1,todays voda numbers ending 7548 selected receive $350 award. match please call 08712300220 quoting claim code 4041 standard rates app
123,0,going sao mu today. done 12
124,0,ìï predict wat time ì_'ll finish buying?
125,0,"good stuff, do."
126,0,"know,yetunde sent money yet. sent text bother sending. over, dont involve anything. imposed anything first place that, apologise."
127,0,room.
128,0,hey girl. r u? hope u r well del r bak! long time c! give call sum time lucyxx
129,0,k..k:)how much cost?
130,0,i'm home.
131,0,"dear, call tmorrow.pls accomodate."
132,0,first answer question.
133,1,sunshine quiz wkly q! win top sony dvd player u know country algarve in? txt ansr 82277. å£1.50 sp:tyron
134,1,want 2 get laid tonight? want real dogging locations sent direct 2 ur mob? join uk's largest dogging network bt txting gravel 69888! nt. ec2a. 31p.msg@150p
135,0,haf msn. yijue@hotmail.com
136,0,there. call meet
137,0,no. check rooms befor act
138,1,rcv msgs chat svc. free hardcore services text go to: 69988 u get nothing u must age verify yr network & tri
139,0,got c... lazy type... forgot ì_ lect... saw pouch like v nice...
140,0,"k, text way"
141,0,"sir, waiting mail."
142,0,"swt thought: \nver get tired little things 4 lovable persons..\"" coz..somtimes little things occupy biggest part hearts.. gud ni8"""
143,0,know are. pls open back?
144,0,yes see ya dot
145,0,whats staff name taking class us?
146,1,"freemsg replied text? i'm randy, sexy, female live local. luv hear u. netcollex ltd 08700621170150p per msg reply stop end"
147,0,ummma.will call check in.our life begin qatar pls pray hard.
148,0,k..i deleted contact why?
149,0,sindu got job birla soft ..
150,0,wine flowing i'm nevering..
151,0,yup thk cine better cos need 2 go 2 plaza mah.
152,0,ok... ur typical reply...
153,0,per request 'melle melle (oru minnaminunginte nurungu vettam)' set callertune callers. press *9 copy friends callertun
154,0,"everywhere dirt, floor, windows, even shirt. sometimes open mouth, comes flowing out. dream world without you, half chores too. time joy me, lots tv shows i.ll see. guess like things must exist, like rain, hail mist, time done, become one."
155,0,aaooooright work?
156,0,i'm leaving house now...
157,0,"hello, love. doing? get interview today? happy? good boy? think me?are missing ?"
158,1,customer service annoncement. new years delivery waiting you. please call 07046744435 arrange deliveri
159,1,winner u specially selected 2 receive å£1000 cash 4* holiday (flights inc) speak live operator 2 claim 0871277810810
160,0,keep safe need miss already envy everyone see's real lif
161,0,new car house parents.:)i new job hand:)
162,0,i'm love you. i'm excited day spend you. make happy.
163,1,-pls stop bootydelious (32/f) inviting friend. reply yes-434 no-434 see her: www.sms.ac/u/bootydelious stop? send stop frnd 62468
